DIM: Sex (3),DIM: Dwelling type (5),Dim: Age (20): Member ID: [1]: Total - Age,Dim: Age (20): Member ID: [2]: 0 to 14 years,Dim: Age (20): Member ID: [3]: 15 to 19 years,Dim: Age (20): Member ID: [6]: 20 to 24 years,% 0 to 14 in house,% 15 to 19 in house,% 20 to 24 in house
Total - Sex,Single-detached houses,311035,54940,20405,19045,0.67664265,0.693457944,0.525089606
Male,Single-detached houses,154340,28085,10480,10055,0.676502469,0.7000668,0.546170559
Female,Single-detached houses,156695,26855,9925,8990,0.676789315,0.686851211,0.503218584
Total - Sex,Single-detached houses,81715,13775,5175,4175,0.822879331,0.84627964,0.754290876
Male,Single-detached houses,40575,7090,2615,2110,0.825378347,0.849025974,0.765880218
Female,Single-detached houses,41145,6685,2560,2070,0.821253071,0.843492586,0.745945946
Total - Sex,Single-detached houses,36665,7120,2460,2175,0.822645869,0.826890756,0.736040609
Male,Single-detached houses,18555,3760,1315,1125,0.822757112,0.848387097,0.740131579
Female,Single-detached houses,18110,3355,1145,1045,0.822303922,0.800699301,0.728222997
Total - Sex,Single-detached houses,246025,43050,16895,16395,0.782940802,0.805290753,0.714534757
Male,Single-detached houses,122760,22055,8770,8645,0.783759773,0.808667589,0.724947589
Female,Single-detached houses,123265,20990,8125,7755,0.78189607,0.80207305,0.704039946
Total - Sex,Single-detached houses,74075,11780,4220,4100,0.800271739,0.807655502,0.699658703
Male,Single-detached houses,36735,5955,2190,2120,0.803643725,0.820224719,0.695081967
Female,Single-detached houses,37335,5830,2035,1980,0.798083504,0.794921875,0.703374778
Total - Sex,Single-detached houses,17545,2170,775,740,0.882113821,0.890804598,0.850574713
Male,Single-detached houses,8635,1105,430,410,0.884,0.905263158,0.88172043
Female,Single-detached houses,8910,1060,345,330,0.87966805,0.851851852,0.814814815
Total - Sex,Single-detached houses,22065,3305,1305,1150,0.728776185,0.769911504,0.646067416
Male,Single-detached houses,10915,1725,685,590,0.745140389,0.782857143,0.659217877
Female,Single-detached houses,11145,1585,620,565,0.713963964,0.751515152,0.634831461
Total - Sex,Single-detached houses,13705,2250,720,665,0.717703349,0.712871287,0.612903226
Male,Single-detached houses,6600,1115,375,335,0.721682848,0.700934579,0.632075472
Female,Single-detached houses,7100,1135,345,340,0.716088328,0.734042553,0.612612613
Total - Sex,Single-detached houses,145890,27085,10470,9590,0.768041968,0.795895097,0.722138554
Male,Single-detached houses,72880,13875,5340,5125,0.768485184,0.8005997,0.73953824
Female,Single-detached houses,73005,13210,5130,4460,0.76757699,0.791056284,0.701809599
Total - Sex,Single-detached houses,18470,2620,1045,1145,0.595454545,0.659305994,0.578282828
Male,Single-detached houses,8980,1335,530,605,0.593333333,0.6625,0.626943005
Female,Single-detached houses,9490,1280,515,540,0.595348837,0.651898734,0.532019704
Total - Sex,Single-detached houses,27090,3790,1515,1400,0.792887029,0.818918919,0.74270557
Male,Single-detached houses,13415,1985,805,705,0.789264414,0.829896907,0.730569948
Female,Single-detached houses,13670,1805,715,690,0.795154185,0.817142857,0.75
Total - Sex,Single-detached houses,45285,6925,2640,2310,0.659838018,0.674329502,0.534104046
Male,Single-detached houses,22490,3475,1335,1170,0.655660377,0.6675,0.545454545
Female,Single-detached houses,22795,3455,1305,1145,0.665703276,0.6796875,0.525229358
Total - Sex,Single-detached houses,112405,18345,7000,6305,0.717442315,0.740740741,0.596499527
Male,Single-detached houses,56375,9435,3615,3390,0.718583397,0.750778816,0.623161765
Female,Single-detached houses,56025,8910,3390,2920,0.716237942,0.732181425,0.5703125
Total - Sex,Single-detached houses,5595,665,240,180,0.599099099,0.648648649,0.467532468
Male,Single-detached houses,2720,335,120,95,0.609090909,0.6,0.487179487
Female,Single-detached houses,2870,330,125,90,0.589285714,0.735294118,0.486486486
Total - Sex,Single-detached houses,29515,5175,1915,1660,0.725806452,0.74368932,0.656126482
Male,Single-detached houses,14910,2660,995,850,0.732782369,0.734317343,0.669291339
Female,Single-detached houses,14605,2520,920,810,0.722063037,0.751020408,0.642857143
Total - Sex,Single-detached houses,56305,8475,3155,3125,0.75,0.765776699,0.65376569
Male,Single-detached houses,28020,4365,1665,1655,0.747431507,0.763761468,0.67413442
Female,Single-detached houses,28290,4105,1485,1470,0.751831502,0.763496144,0.63362069
Total - Sex,Single-detached houses,89210,13435,5280,5540,0.756901408,0.790419162,0.671515152
Male,Single-detached houses,44445,6940,2690,2890,0.75971538,0.790014684,0.682408501
Female,Single-detached houses,44765,6490,2600,2645,0.753337203,0.795107034,0.659600998
Total - Sex,Single-detached houses,12090,2005,680,720,0.826804124,0.834355828,0.782608696
Male,Single-detached houses,6010,1000,365,375,0.826446281,0.848837209,0.79787234
Female,Single-detached houses,6080,1005,315,350,0.827160494,0.807692308,0.769230769
Total - Sex,Single-detached houses,927135,184870,65155,59630,0.758316584,0.7903803,0.687298294
Male,Single-detached houses,466555,94940,33810,31150,0.75891287,0.794594595,0.700550995
Female,Single-detached houses,460575,89930,31350,28475,0.757656178,0.786108325,0.673247429
Total - Sex,Single-detached houses,533630,95140,36635,36075,0.716415663,0.758802817,0.654896977
Male,Single-detached houses,267330,48940,19075,18900,0.717647921,0.763610889,0.670807453
Female,Single-detached houses,266300,46205,17560,17180,0.715247678,0.753648069,0.638543022
Total - Sex,Single-detached houses,24070,6505,2130,1635,0.844256976,0.880165289,0.725055432
Male,Single-detached houses,12140,3310,1110,865,0.835858586,0.888,0.762114537
Female,Single-detached houses,11930,3190,1020,775,0.851802403,0.868085106,0.691964286
Total - Sex,Single-detached houses,10190,2550,715,680,0.73699422,0.733333333,0.552845528
Male,Single-detached houses,5025,1315,350,335,0.745042493,0.752688172,0.544715447
Female,Single-detached houses,5165,1240,360,340,0.733727811,0.699029126,0.552845528
Total - Sex,Single-detached houses,9715,1920,595,575,0.737044146,0.71686747,0.714285714
Male,Single-detached houses,4760,980,310,305,0.750957854,0.688888889,0.743902439
Female,Single-detached houses,4955,940,285,270,0.725868726,0.76,0.675
Total - Sex,Single-detached houses,35380,7085,2305,2045,0.62866016,0.671033479,0.484023669
Male,Single-detached houses,17695,3665,1150,1030,0.63244176,0.67251462,0.495192308
Female,Single-detached houses,17680,3420,1160,1020,0.623518687,0.670520231,0.475524476
Total - Sex,Single-detached houses,7060,1755,580,430,0.502145923,0.597938144,0.445595855
Male,Single-detached houses,3600,910,285,215,0.521489971,0.6,0.447916667
Female,Single-detached houses,3460,850,295,210,0.487106017,0.595959596,0.424242424
Total - Sex,Single-detached houses,838790,173035,55630,48455,0.802369525,0.822259996,0.691572112
Male,Single-detached houses,424195,88490,28690,25540,0.801576158,0.82739726,0.707969508
Female,Single-detached houses,414600,84545,26945,22915,0.803201596,0.817010309,0.674268059
Total - Sex,Single-detached houses,171460,33865,10820,10850,0.768000907,0.794711715,0.665236052
Male,Single-detached houses,86380,17365,5560,5660,0.769384138,0.795422031,0.6811071
Female,Single-detached houses,85085,16505,5255,5195,0.766782811,0.792609351,0.650187735
Total - Sex,Single-detached houses,14785,2820,960,730,0.820960699,0.864864865,0.708737864
Male,Single-detached houses,7350,1445,510,370,0.816384181,0.871794872,0.718446602
Female,Single-detached houses,7435,1380,455,360,0.831325301,0.866666667,0.712871287
Total - Sex,Single-detached houses,26395,5045,1625,1430,0.804625199,0.818639798,0.724050633
Male,Single-detached houses,13170,2570,845,760,0.795665635,0.828431373,0.734299517
Female,Single-detached houses,13225,2475,780,670,0.812807882,0.808290155,0.708994709
Total - Sex,Single-detached houses,13330,2485,870,730,0.788888889,0.816901408,0.634782609
Male,Single-detached houses,6720,1295,440,390,0.782477341,0.846153846,0.666666667
Female,Single-detached houses,6610,1185,430,335,0.79264214,0.788990826,0.592920354
Total - Sex,Single-detached houses,197075,39885,13115,12820,0.716325431,0.743270048,0.574887892
Male,Single-detached houses,99420,20510,6770,6710,0.717132867,0.752640356,0.593280283
Female,Single-detached houses,97650,19375,6350,6110,0.715340594,0.734528629,0.555959964
Total - Sex,Single-detached houses,14480,3165,955,805,0.781481481,0.805907173,0.725225225
Male,Single-detached houses,7035,1580,490,395,0.786069652,0.790322581,0.752380952
Female,Single-detached houses,7445,1590,460,410,0.781326781,0.8,0.694915254
Total - Sex,Single-detached houses,32160,6855,2375,1915,0.746732026,0.78125,0.66148532
Male,Single-detached houses,15855,3540,1215,975,0.744479495,0.771428571,0.663265306
Female,Single-detached houses,16305,3315,1160,945,0.749152542,0.789115646,0.665492958
Total - Sex,Single-detached houses,9990,2020,680,625,0.790606654,0.804733728,0.686813187
Male,Single-detached houses,5165,1000,350,355,0.8,0.823529412,0.696078431
Female,Single-detached houses,4825,1025,335,270,0.782442748,0.807228916,0.666666667
Total - Sex,Single-detached houses,7805,1625,505,430,0.792682927,0.782945736,0.671875
Male,Single-detached houses,3915,825,270,220,0.797101449,0.805970149,0.676923077
Female,Single-detached houses,3890,800,235,205,0.792079208,0.758064516,0.640625
Total - Sex,Single-detached houses,2753315,569850,183260,161310,0.731439647,0.763487897,0.616098539
Male,Single-detached houses,1395115,292505,94695,85205,0.732122744,0.766016826,0.635881936
Female,Single-detached houses,1358200,277350,88565,76105,0.730733764,0.760802337,0.595314456
Total - Sex,Single-detached houses,55490,10905,3660,2825,0.778372591,0.809734513,0.65774156
Male,Single-detached houses,28005,5615,1880,1535,0.781489214,0.812095032,0.694570136
Female,Single-detached houses,27480,5285,1780,1290,0.774358974,0.805429864,0.618705036
Total - Sex,Single-detached houses,16025,3615,1195,795,0.645535714,0.692753623,0.584558824
Male,Single-detached houses,8255,1855,620,460,0.639655172,0.685082873,0.613333333
Female,Single-detached houses,7770,1760,575,330,0.653061224,0.701219512,0.536585366
Total - Sex,Single-detached houses,83750,17460,5475,5655,0.778768956,0.77385159,0.606759657
Male,Single-detached houses,42190,9035,2775,2965,0.783607979,0.776223776,0.63490364
Female,Single-detached houses,41555,8425,2695,2690,0.774000919,0.767806268,0.578494624
Total - Sex,Single-detached houses,23980,6280,1955,1200,0.90294752,0.907192575,0.824742268
Male,Single-detached houses,12100,3220,1025,655,0.903225806,0.915178571,0.829113924
Female,Single-detached houses,11875,3055,935,540,0.901179941,0.899038462,0.818181818
Total - Sex,Single-detached houses,7685,1590,540,360,0.62970297,0.679245283,0.576
Male,Single-detached houses,3900,840,280,180,0.641221374,0.682926829,0.5625
Female,Single-detached houses,3785,750,270,175,0.619834711,0.692307692,0.573770492
Total - Sex,Single-detached houses,926460,192940,61470,54745,0.738060173,0.773450771,0.631539482
Male,Single-detached houses,467085,98825,31740,28840,0.736757744,0.776988984,0.65538007
Female,Single-detached houses,459375,94115,29735,25905,0.739432747,0.769638928,0.606958763
Total - Sex,Single-detached houses,8860,1930,675,450,0.690518784,0.762711864,0.588235294
Male,Single-detached houses,4465,975,360,235,0.691489362,0.782608696,0.602564103
Female,Single-detached houses,4395,955,320,220,0.689530686,0.752941176,0.586666667
Total - Sex,Single-detached houses,6665,1070,430,365,0.520681265,0.651515152,0.521428571
Male,Single-detached houses,3385,550,220,205,0.531400966,0.628571429,0.554054054
Female,Single-detached houses,3280,525,215,160,0.514705882,0.693548387,0.484848485
Total - Sex,Single-detached houses,59970,12455,4040,3565,0.666577469,0.671096346,0.506751955
Male,Single-detached houses,30320,6360,2120,1860,0.662845232,0.680577849,0.532951289
Female,Single-detached houses,29645,6090,1920,1710,0.670335718,0.658662093,0.483050847
Total - Sex,Single-detached houses,11365,2710,825,575,0.790087464,0.820895522,0.595854922
Male,Single-detached houses,5780,1380,410,300,0.795389049,0.803921569,0.638297872
Female,Single-detached houses,5590,1330,415,275,0.786982249,0.846938776,0.567010309
Total - Sex,Single-detached houses,9405,2145,700,505,0.795918367,0.786516854,0.660130719
Male,Single-detached houses,4725,1100,355,260,0.797101449,0.806818182,0.65
Female,Single-detached houses,4680,1045,350,245,0.800766284,0.786516854,0.680555556
Total - Sex,Single-detached houses,12670,2380,785,760,0.756756757,0.765853659,0.612903226
Male,Single-detached houses,6335,1235,415,400,0.762345679,0.79047619,0.64
Female,Single-detached houses,6340,1140,375,360,0.745098039,0.742574257,0.585365854
Total - Sex,Single-detached houses,842950,165885,54740,52490,0.682177078,0.723213106,0.568442712
Male,Single-detached houses,426080,85015,28190,27555,0.683675111,0.724213231,0.585156084
Female,Single-detached houses,416875,80870,26555,24935,0.680580686,0.722093814,0.550927972
Total - Sex,Single-detached houses,24860,5990,1695,1425,0.763543658,0.786542923,0.605095541
Male,Single-detached houses,12640,3040,880,735,0.757160648,0.79638009,0.617647059
Female,Single-detached houses,12220,2945,815,690,0.768929504,0.776190476,0.58974359
Total - Sex,Single-detached houses,10185,2460,680,725,0.695898161,0.731182796,0.570866142
Male,Single-detached houses,5250,1255,370,380,0.68956044,0.755102041,0.562962963
Female,Single-detached houses,4930,1205,310,340,0.704678363,0.704545455,0.566666667
Total - Sex,Single-detached houses,14675,3530,1015,695,0.819025522,0.828571429,0.640552995
Male,Single-detached houses,7385,1790,510,355,0.815489749,0.822580645,0.689320388
Female,Single-detached houses,7285,1740,505,345,0.822695035,0.827868852,0.605263158
Total - Sex,Single-detached houses,10405,2420,630,620,0.71281296,0.777777778,0.548672566
Male,Single-detached houses,5415,1225,340,310,0.722713864,0.772727273,0.516666667
Female,Single-detached houses,4990,1190,295,310,0.7,0.786666667,0.579439252
Total - Sex,Single-detached houses,43705,10440,2735,2780,0.762322015,0.755524862,0.547244094
Male,Single-detached houses,22420,5300,1405,1495,0.762041697,0.759459459,0.563088512
Female,Single-detached houses,21285,5140,1325,1290,0.761481481,0.750708215,0.533057851
Total - Sex,Single-detached houses,42330,9285,2345,2600,0.631417885,0.653203343,0.553780618
Male,Single-detached houses,22505,4830,1245,1385,0.636363636,0.6484375,0.569958848
Female,Single-detached houses,19830,4455,1100,1215,0.626141954,0.658682635,0.536423841
Total - Sex,Single-detached houses,7975,1590,525,415,0.67230444,0.709459459,0.597122302
Male,Single-detached houses,3995,835,285,220,0.673387097,0.75,0.611111111
Female,Single-detached houses,3980,750,235,195,0.666666667,0.652777778,0.582089552
Total - Sex,Single-detached houses,2270425,369950,143130,123765,0.535127942,0.552689501,0.430404618
Male,Single-detached houses,1133160,190025,73905,65675,0.534716848,0.555718475,0.44490736
Female,Single-detached houses,1137270,179930,69225,58095,0.535585653,0.549513792,0.415127371
Total - Sex,Single-detached houses,18645,3165,1165,820,0.770072993,0.756493506,0.600732601
Male,Single-detached houses,9345,1615,635,450,0.772727273,0.760479042,0.616438356
Female,Single-detached houses,9295,1555,530,370,0.76980198,0.75177305,0.569230769
Total - Sex,Single-detached houses,12565,1970,720,505,0.730983302,0.72361809,0.58045977
Male,Single-detached houses,6220,1000,355,280,0.716845878,0.717171717,0.629213483
Female,Single-detached houses,6350,970,365,225,0.743295019,0.722772277,0.535714286
Total - Sex,Single-detached houses,24535,3325,1415,975,0.644379845,0.661214953,0.522788204
Male,Single-detached houses,12095,1710,730,535,0.648956357,0.691943128,0.548717949
Female,Single-detached houses,12435,1610,690,440,0.640159046,0.638888889,0.494382022
Total - Sex,Single-detached houses,112740,18215,6990,5690,0.660322639,0.666348904,0.47063689
Male,Single-detached houses,56365,9185,3655,3080,0.659841954,0.678737233,0.496373892
Female,Single-detached houses,56375,9030,3335,2605,0.661054173,0.654563297,0.442650807
Total - Sex,Single-detached houses,39010,5905,2325,1760,0.681477207,0.712098009,0.595600677
Male,Single-detached houses,19230,2985,1205,930,0.676870748,0.715133531,0.622073579
Female,Single-detached houses,19775,2920,1120,825,0.685446009,0.711111111,0.563139932
Total - Sex,Single-detached houses,12325,2030,735,530,0.764595104,0.781914894,0.654320988
Male,Single-detached houses,6005,1035,375,275,0.755474453,0.773195876,0.654761905
Female,Single-detached houses,6320,995,355,250,0.774319066,0.76344086,0.632911392
Total - Sex,Single-detached houses,61350,10305,3820,3180,0.653455929,0.668416448,0.48
Male,Single-detached houses,30755,5340,1970,1640,0.658040665,0.66779661,0.483063328
Female,Single-detached houses,30600,4965,1845,1545,0.649019608,0.66969147,0.478328173
Total - Sex,Single-detached houses,65490,12540,4365,3615,0.685245902,0.7275,0.636443662
Male,Single-detached houses,32810,6500,2210,1920,0.688559322,0.729372937,0.648648649
Female,Single-detached houses,32675,6040,2155,1700,0.680947012,0.725589226,0.626151013
Total - Sex,Single-detached houses,90815,18155,6480,5585,0.545277069,0.572944297,0.487772926
Male,Single-detached houses,45975,9405,3365,2955,0.544113393,0.577682403,0.500847458
Female,Single-detached houses,44840,8745,3110,2630,0.546391753,0.567518248,0.473021583
Total - Sex,Single-detached houses,881255,145290,61520,58530,0.401287079,0.432417235,0.349913314
Male,Single-detached houses,437295,75020,31750,30845,0.401702766,0.433921006,0.361246121
Female,Single-detached houses,443965,70270,29770,27680,0.400844243,0.430856068,0.33801441
Total - Sex,Single-detached houses,10330,2195,580,480,0.55994898,0.591836735,0.484848485
Male,Single-detached houses,5260,1120,305,270,0.561403509,0.570093458,0.5
Female,Single-detached houses,5070,1075,275,205,0.556994819,0.625,0.460674157
Total - Sex,Single-detached houses,166875,24935,9765,8900,0.516787565,0.532297629,0.365578147
Male,Single-detached houses,82100,12645,4910,4745,0.515491235,0.536026201,0.385146104
Female,Single-detached houses,84775,12290,4855,4155,0.518018967,0.528291621,0.345386534
Total - Sex,Single-detached houses,30460,4680,1760,1285,0.692307692,0.733333333,0.658974359
Male,Single-detached houses,15025,2335,905,675,0.687776141,0.741803279,0.655339806
Female,Single-detached houses,15435,2350,855,610,0.698365527,0.724576271,0.659459459
Total - Sex,Single-detached houses,66170,10230,3790,3260,0.675470452,0.690975387,0.527081649
Male,Single-detached houses,32805,5265,1975,1705,0.681994819,0.69664903,0.549114332
Female,Single-detached houses,33365,4970,1815,1560,0.668909825,0.683615819,0.506493506
Total - Sex,Single-detached houses,21810,2080,980,685,0.847250509,0.867256637,0.778409091
Male,Single-detached houses,10485,1065,520,380,0.835294118,0.852459016,0.8
Female,Single-detached houses,11325,1010,460,305,0.855932203,0.884615385,0.7625
Total - Sex,Single-detached houses,19380,2890,1090,785,0.775838926,0.795620438,0.665254237
Male,Single-detached houses,9675,1430,570,445,0.775067751,0.826086957,0.674242424
Female,Single-detached houses,9705,1455,520,335,0.77393617,0.764705882,0.644230769
Total - Sex,Single-detached houses,37445,5275,2095,1345,0.722108145,0.754954955,0.577253219
Male,Single-detached houses,18330,2715,1070,700,0.722074468,0.76702509,0.576131687
Female,Single-detached houses,19110,2560,1020,650,0.722143865,0.739130435,0.580357143
Total - Sex,Single-detached houses,26160,4230,1520,1105,0.726804124,0.739659367,0.603825137
Male,Single-detached houses,13185,2175,795,575,0.725,0.739534884,0.628415301
Female,Single-detached houses,12975,2060,725,525,0.730496454,0.739795918,0.576923077
Total - Sex,Single-detached houses,13250,1840,705,460,0.840182648,0.859756098,0.74796748
Male,Single-detached houses,6640,950,380,250,0.837004405,0.873563218,0.769230769
Female,Single-detached houses,6610,885,325,215,0.838862559,0.833333333,0.74137931
Total - Sex,Single-detached houses,11655,2065,715,565,0.67594108,0.684210526,0.535545024
Male,Single-detached houses,5970,1065,370,310,0.667711599,0.678899083,0.553571429
Female,Single-detached houses,5680,1005,340,255,0.690721649,0.686868687,0.515151515
Total - Sex,Single-detached houses,17595,2930,1110,835,0.788694482,0.82527881,0.68442623
Male,Single-detached houses,8940,1485,580,445,0.789893617,0.828571429,0.6953125
Female,Single-detached houses,8660,1445,525,390,0.78746594,0.8203125,0.672413793
Total - Sex,Single-detached houses,7615,1380,475,430,0.598698482,0.575757576,0.540880503
Male,Single-detached houses,3880,710,235,245,0.601694915,0.552941176,0.563218391
Female,Single-detached houses,3735,670,235,185,0.595555556,0.580246914,0.521126761
Total - Sex,Single-detached houses,10590,1930,695,640,0.678383128,0.720207254,0.606635071
Male,Single-detached houses,5370,990,360,345,0.678082192,0.72,0.627272727
Female,Single-detached houses,5220,945,335,290,0.682310469,0.712765957,0.58
Total - Sex,Single-detached houses,59445,11065,3945,3400,0.731086885,0.738764045,0.558751027
Male,Single-detached houses,30205,5730,2030,1820,0.735086594,0.738181818,0.575039494
Female,Single-detached houses,29240,5340,1915,1585,0.72801636,0.737957611,0.541880342
Total - Sex,Single-detached houses,8245,1705,550,530,0.731759657,0.728476821,0.546391753
Male,Single-detached houses,4130,850,285,280,0.732758621,0.721518987,0.565656566
Female,Single-detached houses,4115,860,265,245,0.728813559,0.726027397,0.52688172
Total - Sex,Single-detached houses,18450,4250,1245,1090,0.700164745,0.725947522,0.503464203
Male,Single-detached houses,9520,2200,655,540,0.700636943,0.735955056,0.486486486
Female,Single-detached houses,8930,2050,585,545,0.69846678,0.709090909,0.516587678
Total - Sex,Single-detached houses,23410,4285,1320,1175,0.684504792,0.682170543,0.597964377
Male,Single-detached houses,11940,2300,690,640,0.686567164,0.686567164,0.618357488
Female,Single-detached houses,11475,1990,630,535,0.683848797,0.677419355,0.575268817
Total - Sex,Single-detached houses,16970,3230,1015,880,0.641509434,0.636363636,0.551724138
Male,Single-detached houses,8575,1735,515,480,0.642592593,0.639751553,0.571428571
Female,Single-detached houses,8395,1490,500,405,0.638115632,0.641025641,0.536423841
Total - Sex,Single-detached houses,26415,5835,1885,1900,0.659322034,0.695571956,0.619902121
Male,Single-detached houses,13570,2965,975,1065,0.665544332,0.693950178,0.651376147
Female,Single-detached houses,12840,2870,915,835,0.653758542,0.701149425,0.585964912
Total - Sex,Single-detached houses,9920,2090,625,705,0.535211268,0.541125541,0.5
Male,Single-detached houses,5065,1090,325,390,0.550505051,0.537190083,0.523489933
Female,Single-detached houses,4855,1000,300,315,0.520833333,0.550458716,0.470149254
Total - Sex,Single-detached houses,19295,6310,2085,1850,0.540239726,0.66507177,0.606557377
Male,Single-detached houses,9875,3215,1055,980,0.538525963,0.659375,0.638436482
Female,Single-detached houses,9420,3090,1035,870,0.541155867,0.672077922,0.57615894
